hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 600.00000, 8190.19, -0.954674, 8186.08, -120.929, 8183.53, 119.028, 118.298, -24.5811, 118.395, -144.55, 119.119, 95.3767
0, 1200.00000, 8157.04, -1.12899, 8152.92, -121.104, 8150.37, 118.854, 140.052, -24.7678, 140.153, -144.743, 140.873, 95.1948
0, 1800.00000, 8167.68, -1.07264, 8163.48, -121.047, 8160.88, 118.91, 133.072, -24.73, 133.179, -144.704, 133.909, 95.2283
0, 2400.00000, 8165.75, -1.083, 8161.54, -121.057, 8158.93, 118.9, 134.351, -24.7372, 134.457, -144.711, 135.19, 95.2219
0, 3000.00000, 8171.05, -1.05471, 8166.85, -121.029, 8164.24, 118.928, 130.853, -24.7181, 130.96, -144.691, 131.691, 95.2394
1, 0.00000, 8163.8, -1.0931, 8159.64, -121.068, 8157.07, 118.89, 135.612, -24.7441, 135.715, -144.718, 136.439, 95.2165
1, 600.00000, 8167.6, -1.07247, 8163.51, -121.047, 8160.98, 118.911, 133.073, -24.7307, 133.173, -144.705, 133.888, 95.231
1, 1200.00000, 8169.5, -1.06206, 8165.46, -121.037, 8162.97, 118.921, 131.793, -24.7233, 131.892, -144.697, 132.598, 95.2385
1, 1800.00000, 8175.25, -1.031, 8171.28, -121.007, 8168.84, 118.953, 127.965, -24.7031, 128.062, -144.677, 128.755, 95.2586
1, 2400.00000, 8166.54, -1.07699, 8162.65, -121.053, 8160.26, 118.907, 133.671, -24.7342, 133.763, -144.71, 134.444, 95.231
1, 3000.00000, 8175.16, -1.03067, 8171.34, -121.007, 8168.99, 118.953, 127.953, -24.7035, 128.042, -144.678, 128.712, 95.2618
2, 0.00000, 8164.09, -1.08965, 8160.27, -121.066, 8157.93, 118.894, 135.249, -24.7429, 135.338, -144.719, 136.008, 95.2242
2, 600.00000, 8179.04, -1.01008, 8175.2, -120.987, 8172.85, 118.974, 125.401, -24.6892, 125.493, -144.663, 126.164, 95.2738
2, 1200.00000, 8170.37, -1.0562, 8166.54, -121.033, 8164.2, 118.928, 131.112, -24.7203, 131.204, -144.696, 131.871, 95.2446
2, 1800.00000, 8179.52, -1.00747, 8175.69, -120.984, 8173.34, 118.977, 125.081, -24.6876, 125.173, -144.662, 125.841, 95.2756
2, 2400.00000, 8166.54, -1.07677, 8162.69, -121.053, 8160.33, 118.907, 133.65, -24.7338, 133.744, -144.71, 134.415, 95.2309
2, 3000.00000, 8173.76, -1.03833, 8169.9, -121.015, 8167.53, 118.946, 128.894, -24.7081, 128.988, -144.683, 129.661, 95.2554
3, 0.00000, 8171.84, -1.04855, 8167.98, -121.025, 8165.61, 118.936, 130.16, -24.7154, 130.253, -144.691, 130.926, 95.2483
3, 600.00000, 8177.13, -1.02036, 8173.27, -120.997, 8170.9, 118.964, 126.669, -24.696, 126.764, -144.67, 127.437, 95.2666
3, 1200.00000, 8168.55, -1.0667, 8164.58, -121.042, 8162.14, 118.917, 132.382, -24.7264, 132.483, -144.702, 133.171, 95.2346
3, 1800.00000, 8174.91, -1.03344, 8170.82, -121.009, 8168.31, 118.95, 128.244, -24.703, 128.356, -144.677, 129.057, 95.2523
3, 2400.00000, 8170.65, -1.05658, 8166.48, -121.031, 8163.92, 118.927, 131.091, -24.7178, 131.209, -144.693, 131.921, 95.2353
3, 3000.00000, 8176.02, -1.02868, 8171.72, -121.003, 8169.07, 118.954, 127.613, -24.6982, 127.741, -144.672, 128.472, 95.249
4, 0.00000, 8165.55, -1.08542, 8161.09, -121.058, 8158.32, 118.897, 134.598, -24.7353, 134.736, -144.71, 135.49, 95.2099
